movie_title,release_date,wikipedia_url,genre,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget,revenue
The Judge,2014-09-04,https://en.wikipedia.org/wiki/The_Judge_(2014_film),Comedy,David Dobkin,N/A,Robert Downey,Jr.,Robert Duvall,Vera Farmiga,Billy Bob Thornton,50000000.0,84400000.0
The Lady in the Van,2015-12-04,https://en.wikipedia.org/wiki/The_Lady_in_the_Van,Comedy,Nicholas Hytner,N/A,Maggie Smith,Alex Jennings,Jim Broadbent,Frances de la Tour,Roger Allam,6000000.0,41400000.0
The Last Exorcism Part II,2013-03-01,https://en.wikipedia.org/wiki/The_Last_Exorcism_Part_II,Horror,Ed Gass-Donnelly,N/A,Ashley Bell,Spencer Treat Clark,Muse Watson,Louis Herthum,Judd Lormand,5000000.0,15100000.0
The Last Stand,2013-01-18,https://en.wikipedia.org/wiki/The_Last_Stand_(2013_film),Action,Kim Ji-woon,N/A,Arnold Schwarzenegger,Forest Whitaker,Peter Stormare,Jaimie Alexander,Rodrigo Santoro,45000000.0,48300000.0
The Last Witch Hunter,2015-10-23,https://en.wikipedia.org/wiki/The_Last_Witch_Hunter,Action,Breck Eisner,N/A,Vin Diesel,Michael Caine,Rose Leslie,Elijah Wood,N/A,90000000.0,140400000.0
The Lazarus Effect,2015-02-27,https://en.wikipedia.org/wiki/The_Lazarus_Effect_(2015_film),Horror,David Gelb,N/A,Olivia Wilde,Mark Duplass,Donald Glover,N/A,N/A,3300000.0,38400000.0
The Legend of Hercules,2014-01-10,https://en.wikipedia.org/wiki/The_Legend_of_Hercules,Action,Renny Harlin,N/A,Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Liam Garrigan,70000000.0,61300000.0
The Legend of Tarzan,2016-07-01,https://en.wikipedia.org/wiki/The_Legend_of_Tarzan_(film),Action,David Yates,N/A,Alexander Skarsgard,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou,180000000.0,352700000.0
The Lego Movie,2014-02-01,https://en.wikipedia.org/wiki/The_Lego_Movie,Family,Phil Lord,Chris Miller,Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,Nick Offerman,60000000.0,469200000.0
The Letters,2015-12-04,https://en.wikipedia.org/wiki/The_Letters_(film),Drama,William Riead,N/A,Juliet Stevenson,Max von Sydow,Rutger Hauer,Priya Darshini,N/A,1000000.0,1600000.0
